日期,SKU编号,商品名称,销量,单价,销售额,活动标记
2025-07-03,B003,身体乳250ml,21,79.0,1659.0,日常
2025-07-03,B004,卸妆水500ml,22,49.0,1078.0,日常
2025-07-03,B005,护手霜50g,5,35.0,175.0,日常
2025-07-03,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-03,C002,唇膜5g,8,45.0,360.0,日常
2025-07-03,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-03,C004,发膜200ml,4,55.0,220.0,日常
2025-07-03,C005,沐浴球,3,15.0,45.0,日常
2025-07-04,A001,爆款玻尿酸面膜,277,89.0,24653.0,日常
2025-07-04,A002,美白精华液30ml,129,199.0,25671.0,日常
2025-07-04,A003,氨基酸洁面乳120g,100,69.0,6900.0,日常
2025-07-04,A004,烟酰胺原液15ml,79,149.0,11771.0,日常
2025-07-04,A005,防晒霜SPF50+ 50ml,141,129.0,18189.0,日常
2025-07-04,B001,补水面膜10片装,42,59.0,2478.0,日常
2025-07-04,B002,眼霜15ml,32,169.0,5408.0,日常
2025-07-04,B003,身体乳250ml,24,79.0,1896.0,日常
2025-07-04,B004,卸妆水500ml,26,49.0,1274.0,日常
2025-07-04,B005,护手霜50g,5,35.0,175.0,日常
2025-07-04,C001,化妆棉200片,10,19.0,190.0,日常
2025-07-04,C002,唇膜5g,9,45.0,405.0,日常
2025-07-04,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-04,C004,发膜200ml,4,55.0,220.0,日常
2025-07-04,C005,沐浴球,3,15.0,45.0,日常
2025-07-05,A001,爆款玻尿酸面膜,359,89.0,31951.0,日常
2025-07-05,A002,美白精华液30ml,137,199.0,27263.0,日常
2025-07-05,A003,氨基酸洁面乳120g,91,69.0,6279.0,日常
2025-07-05,A004,烟酰胺原液15ml,92,149.0,13708.0,日常
2025-07-05,A005,防晒霜SPF50+ 50ml,198,129.0,25542.0,日常
2025-07-05,B001,补水面膜10片装,43,59.0,2537.0,日常
2025-07-05,B002,眼霜15ml,35,169.0,5915.0,日常
2025-07-05,B003,身体乳250ml,30,79.0,2370.0,日常
2025-07-05,B004,卸妆水500ml,22,49.0,1078.0,日常
2025-07-05,B005,护手霜50g,7,35.0,245.0,日常
2025-07-05,C001,化妆棉200片,15,19.0,285.0,日常
2025-07-05,C002,唇膜5g,12,45.0,540.0,日常
2025-07-05,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-05,C004,发膜200ml,4,55.0,220.0,日常
2025-07-05,C005,沐浴球,3,15.0,45.0,日常
2025-07-06,A001,爆款玻尿酸面膜,276,89.0,24564.0,日常
2025-07-06,A002,美白精华液30ml,154,199.0,30646.0,日常
2025-07-06,A003,氨基酸洁面乳120g,102,69.0,7038.0,日常
2025-07-06,A004,烟酰胺原液15ml,97,149.0,14453.0,日常
2025-07-06,A005,防晒霜SPF50+ 50ml,193,129.0,24897.0,日常
2025-07-06,B001,补水面膜10片装,47,59.0,2773.0,日常
2025-07-06,B002,眼霜15ml,33,169.0,5577.0,日常
2025-07-06,B003,身体乳250ml,22,79.0,1738.0,日常
2025-07-06,B004,卸妆水500ml,20,49.0,980.0,日常
2025-07-06,B005,护手霜50g,6,35.0,210.0,日常
2025-07-06,C001,化妆棉200片,14,19.0,266.0,日常
2025-07-06,C002,唇膜5g,11,45.0,495.0,日常
2025-07-06,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-06,C004,发膜200ml,5,55.0,275.0,日常
2025-07-06,C005,沐浴球,4,15.0,60.0,日常
2025-07-07,A001,爆款玻尿酸面膜,301,89.0,26789.0,日常
2025-07-07,A002,美白精华液30ml,133,199.0,26467.0,日常
2025-07-07,A003,氨基酸洁面乳120g,98,69.0,6762.0,日常
2025-07-07,A004,烟酰胺原液15ml,75,149.0,11175.0,日常
2025-07-07,A005,防晒霜SPF50+ 50ml,171,129.0,22059.0,日常
2025-07-07,B001,补水面膜10片装,47,59.0,2773.0,日常
2025-07-07,B002,眼霜15ml,34,169.0,5746.0,日常
2025-07-07,B003,身体乳250ml,25,79.0,1975.0,日常
2025-07-07,B004,卸妆水500ml,25,49.0,1225.0,日常
2025-07-07,B005,护手霜50g,5,35.0,175.0,日常
2025-07-07,C001,化妆棉200片,14,19.0,266.0,日常
2025-07-07,C002,唇膜5g,8,45.0,360.0,日常
2025-07-07,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-07,C004,发膜200ml,3,55.0,165.0,日常
2025-07-07,C005,沐浴球,3,15.0,45.0,日常
2025-07-08,A001,爆款玻尿酸面膜,312,89.0,27768.0,日常
2025-07-08,A002,美白精华液30ml,132,199.0,26268.0,日常
2025-07-08,A003,氨基酸洁面乳120g,103,69.0,7107.0,日常
2025-07-08,A004,烟酰胺原液15ml,61,149.0,9089.0,日常
2025-07-08,A005,防晒霜SPF50+ 50ml,167,129.0,21543.0,日常
2025-07-08,B001,补水面膜10片装,48,59.0,2832.0,日常
2025-07-08,B002,眼霜15ml,28,169.0,4732.0,日常
2025-07-08,B003,身体乳250ml,23,79.0,1817.0,日常
2025-07-08,B004,卸妆水500ml,20,49.0,980.0,日常
2025-07-08,B005,护手霜50g,6,35.0,210.0,日常
2025-07-08,C001,化妆棉200片,10,19.0,190.0,日常
2025-07-08,C002,唇膜5g,8,45.0,360.0,日常
2025-07-08,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-08,C004,发膜200ml,4,55.0,220.0,日常
2025-07-08,C005,沐浴球,3,15.0,45.0,日常
2025-07-09,A001,爆款玻尿酸面膜,270,89.0,24030.0,日常
2025-07-09,A002,美白精华液30ml,102,199.0,20298.0,日常
2025-07-09,A003,氨基酸洁面乳120g,98,69.0,6762.0,日常
2025-07-09,A004,烟酰胺原液15ml,73,149.0,10877.0,日常
2025-07-09,A005,防晒霜SPF50+ 50ml,171,129.0,22059.0,日常
2025-07-09,B001,补水面膜10片装,45,59.0,2655.0,日常
2025-07-09,B002,眼霜15ml,38,169.0,6422.0,日常
2025-07-09,B003,身体乳250ml,26,79.0,2054.0,日常
2025-07-09,B004,卸妆水500ml,23,49.0,1127.0,日常
2025-07-09,B005,护手霜50g,5,35.0,175.0,日常
2025-07-09,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-09,C002,唇膜5g,8,45.0,360.0,日常
2025-07-09,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-09,C004,发膜200ml,3,55.0,165.0,日常
2025-07-09,C005,沐浴球,3,15.0,45.0,日常
2025-07-10,A001,爆款玻尿酸面膜,286,89.0,25454.0,日常
2025-07-10,A002,美白精华液30ml,142,199.0,28258.0,日常
2025-07-10,A003,氨基酸洁面乳120g,103,69.0,7107.0,日常
2025-07-10,A004,烟酰胺原液15ml,86,149.0,12814.0,日常
2025-07-10,A005,防晒霜SPF50+ 50ml,145,129.0,18705.0,日常
2025-07-10,B001,补水面膜10片装,38,59.0,2242.0,日常
2025-07-10,B002,眼霜15ml,31,169.0,5239.0,日常
2025-07-10,B003,身体乳250ml,24,79.0,1896.0,日常
2025-07-10,B004,卸妆水500ml,25,49.0,1225.0,日常
2025-07-10,B005,护手霜50g,5,35.0,175.0,日常
2025-07-10,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-10,C002,唇膜5g,6,45.0,270.0,日常
2025-07-10,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-10,C004,发膜200ml,4,55.0,220.0,日常
2025-07-10,C005,沐浴球,3,15.0,45.0,日常
2025-07-11,A001,爆款玻尿酸面膜,313,89.0,27857.0,日常
2025-07-11,A002,美白精华液30ml,120,199.0,23880.0,日常
2025-07-11,A003,氨基酸洁面乳120g,82,69.0,5658.0,日常
2025-07-11,A004,烟酰胺原液15ml,90,149.0,13410.0,日常
2025-07-11,A005,防晒霜SPF50+ 50ml,164,129.0,21156.0,日常
2025-07-11,B001,补水面膜10片装,48,59.0,2832.0,日常
2025-07-11,B002,眼霜15ml,27,169.0,4563.0,日常
2025-07-11,B003,身体乳250ml,28,79.0,2212.0,日常
2025-07-11,B004,卸妆水500ml,20,49.0,980.0,日常
2025-07-11,B005,护手霜50g,6,35.0,210.0,日常
2025-07-11,C001,化妆棉200片,14,19.0,266.0,日常
2025-07-11,C002,唇膜5g,9,45.0,405.0,日常
2025-07-11,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-11,C004,发膜200ml,5,55.0,275.0,日常
2025-07-11,C005,沐浴球,3,15.0,45.0,日常
2025-07-12,A001,爆款玻尿酸面膜,296,89.0,26344.0,日常
2025-07-12,A002,美白精华液30ml,140,199.0,27860.0,日常
2025-07-12,A003,氨基酸洁面乳120g,129,69.0,8901.0,日常
2025-07-12,A004,烟酰胺原液15ml,99,149.0,14751.0,日常
2025-07-12,A005,防晒霜SPF50+ 50ml,189,129.0,24381.0,日常
2025-07-12,B001,补水面膜10片装,59,59.0,3481.0,日常
2025-07-12,B002,眼霜15ml,32,169.0,5408.0,日常
2025-07-12,B003,身体乳250ml,23,79.0,1817.0,日常
2025-07-12,B004,卸妆水500ml,24,49.0,1176.0,日常
2025-07-12,B005,护手霜50g,6,35.0,210.0,日常
2025-07-12,C001,化妆棉200片,13,19.0,247.0,日常
2025-07-12,C002,唇膜5g,10,45.0,450.0,日常
2025-07-12,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-12,C004,发膜200ml,4,55.0,220.0,日常
2025-07-12,C005,沐浴球,4,15.0,60.0,日常
2025-07-13,A001,爆款玻尿酸面膜,300,89.0,26700.0,日常
2025-07-13,A002,美白精华液30ml,114,199.0,22686.0,日常
2025-07-13,A003,氨基酸洁面乳120g,115,69.0,7935.0,日常
2025-07-13,A004,烟酰胺原液15ml,97,149.0,14453.0,日常
2025-07-13,A005,防晒霜SPF50+ 50ml,162,129.0,20898.0,日常
2025-07-13,B001,补水面膜10片装,55,59.0,3245.0,日常
2025-07-13,B002,眼霜15ml,36,169.0,6084.0,日常
2025-07-13,B003,身体乳250ml,27,79.0,2133.0,日常
2025-07-13,B004,卸妆水500ml,24,49.0,1176.0,日常
2025-07-13,B005,护手霜50g,7,35.0,245.0,日常
2025-07-13,C001,化妆棉200片,13,19.0,247.0,日常
2025-07-13,C002,唇膜5g,10,45.0,450.0,日常
2025-07-13,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-13,C004,发膜200ml,6,55.0,330.0,日常
2025-07-13,C005,沐浴球,3,15.0,45.0,日常
2025-07-14,A001,爆款玻尿酸面膜,289,89.0,25721.0,日常
2025-07-14,A002,美白精华液30ml,116,199.0,23084.0,日常
2025-07-14,A003,氨基酸洁面乳120g,94,69.0,6486.0,日常
2025-07-14,A004,烟酰胺原液15ml,105,149.0,15645.0,日常
2025-07-14,A005,防晒霜SPF50+ 50ml,154,129.0,19866.0,日常
2025-07-14,B001,补水面膜10片装,57,59.0,3363.0,日常
2025-07-14,B002,眼霜15ml,28,169.0,4732.0,日常
2025-07-14,B003,身体乳250ml,26,79.0,2054.0,日常
2025-07-14,B004,卸妆水500ml,19,49.0,931.0,日常
2025-07-14,B005,护手霜50g,5,35.0,175.0,日常
2025-07-14,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-14,C002,唇膜5g,8,45.0,360.0,日常
2025-07-14,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-14,C004,发膜200ml,3,55.0,165.0,日常
2025-07-14,C005,沐浴球,4,15.0,60.0,日常
2025-07-15,A001,爆款玻尿酸面膜,262,89.0,23318.0,日常
2025-07-15,A002,美白精华液30ml,146,199.0,29054.0,日常
2025-07-15,A003,氨基酸洁面乳120g,84,69.0,5796.0,日常
2025-07-15,A004,烟酰胺原液15ml,88,149.0,13112.0,日常
2025-07-15,A005,防晒霜SPF50+ 50ml,213,129.0,27477.0,日常
2025-07-15,B001,补水面膜10片装,40,59.0,2360.0,日常
2025-07-15,B002,眼霜15ml,25,169.0,4225.0,日常
2025-07-15,B003,身体乳250ml,23,79.0,1817.0,日常
2025-07-15,B004,卸妆水500ml,21,49.0,1029.0,日常
2025-07-15,B005,护手霜50g,6,35.0,210.0,日常
2025-07-15,C001,化妆棉200片,14,19.0,266.0,日常
2025-07-15,C002,唇膜5g,8,45.0,360.0,日常
2025-07-15,C003,指甲油12ml,4,29.0,116.0,日常
2025-07-15,C004,发膜200ml,4,55.0,220.0,日常
2025-07-15,C005,沐浴球,3,15.0,45.0,日常
2025-07-16,A001,爆款玻尿酸面膜,282,89.0,25098.0,日常
2025-07-16,A002,美白精华液30ml,92,199.0,18308.0,日常
2025-07-16,A003,氨基酸洁面乳120g,95,69.0,6555.0,日常
2025-07-16,A004,烟酰胺原液15ml,100,149.0,14900.0,日常
2025-07-16,A005,防晒霜SPF50+ 50ml,194,129.0,25026.0,日常
2025-07-16,B001,补水面膜10片装,48,59.0,2832.0,日常
2025-07-16,B002,眼霜15ml,31,169.0,5239.0,日常
2025-07-16,B003,身体乳250ml,21,79.0,1659.0,日常
2025-07-16,B004,卸妆水500ml,18,49.0,882.0,日常
2025-07-16,B005,护手霜50g,5,35.0,175.0,日常
2025-07-16,C001,化妆棉200片,13,19.0,247.0,日常
2025-07-16,C002,唇膜5g,9,45.0,405.0,日常
2025-07-16,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-16,C004,发膜200ml,3,55.0,165.0,日常
2025-07-16,C005,沐浴球,3,15.0,45.0,日常
2025-07-17,A001,爆款玻尿酸面膜,230,89.0,20470.0,日常
2025-07-17,A002,美白精华液30ml,130,199.0,25870.0,日常
2025-07-17,A003,氨基酸洁面乳120g,69,69.0,4761.0,日常
2025-07-17,A004,烟酰胺原液15ml,82,149.0,12218.0,日常
2025-07-17,A005,防晒霜SPF50+ 50ml,163,129.0,21027.0,日常
2025-07-17,B001,补水面膜10片装,53,59.0,3127.0,日常
2025-07-17,B002,眼霜15ml,30,169.0,5070.0,日常
2025-07-17,B003,身体乳250ml,28,79.0,2212.0,日常
2025-07-17,B004,卸妆水500ml,19,49.0,931.0,日常
2025-07-17,B005,护手霜50g,5,35.0,175.0,日常
2025-07-17,C001,化妆棉200片,11,19.0,209.0,日常
2025-07-17,C002,唇膜5g,9,45.0,405.0,日常
2025-07-17,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-17,C004,发膜200ml,4,55.0,220.0,日常
2025-07-17,C005,沐浴球,4,15.0,60.0,日常
2025-07-18,A001,爆款玻尿酸面膜,266,89.0,23674.0,日常
2025-07-18,A002,美白精华液30ml,129,199.0,25671.0,日常
2025-07-18,A003,氨基酸洁面乳120g,99,69.0,6831.0,日常
2025-07-18,A004,烟酰胺原液15ml,83,149.0,12367.0,日常
2025-07-18,A005,防晒霜SPF50+ 50ml,198,129.0,25542.0,日常
2025-07-18,B001,补水面膜10片装,53,59.0,3127.0,日常
2025-07-18,B002,眼霜15ml,25,169.0,4225.0,日常
2025-07-18,B003,身体乳250ml,24,79.0,1896.0,日常
2025-07-18,B004,卸妆水500ml,21,49.0,1029.0,日常
2025-07-18,B005,护手霜50g,6,35.0,210.0,日常
2025-07-18,C001,化妆棉200片,10,19.0,190.0,日常
2025-07-18,C002,唇膜5g,6,45.0,270.0,日常
2025-07-18,C003,指甲油12ml,4,29.0,116.0,日常
2025-07-18,C004,发膜200ml,4,55.0,220.0,日常
2025-07-18,C005,沐浴球,3,15.0,45.0,日常
2025-07-19,A001,爆款玻尿酸面膜,320,89.0,28480.0,日常
2025-07-19,A002,美白精华液30ml,126,199.0,25074.0,日常
2025-07-19,A003,氨基酸洁面乳120g,93,69.0,6417.0,日常
2025-07-19,A004,烟酰胺原液15ml,74,149.0,11026.0,日常
2025-07-19,A005,防晒霜SPF50+ 50ml,185,129.0,23865.0,日常
2025-07-19,B001,补水面膜10片装,54,59.0,3186.0,日常
2025-07-19,B002,眼霜15ml,38,169.0,6422.0,日常
2025-07-19,B003,身体乳250ml,32,79.0,2528.0,日常
2025-07-19,B004,卸妆水500ml,22,49.0,1078.0,日常
2025-07-19,B005,护手霜50g,7,35.0,245.0,日常
2025-07-19,C001,化妆棉200片,14,19.0,266.0,日常
2025-07-19,C002,唇膜5g,8,45.0,360.0,日常
2025-07-19,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-19,C004,发膜200ml,4,55.0,220.0,日常
2025-07-19,C005,沐浴球,3,15.0,45.0,日常
2025-07-20,A001,爆款玻尿酸面膜,313,89.0,27857.0,日常
2025-07-20,A002,美白精华液30ml,143,199.0,28457.0,日常
2025-07-20,A003,氨基酸洁面乳120g,105,69.0,7245.0,日常
2025-07-20,A004,烟酰胺原液15ml,90,149.0,13410.0,日常
2025-07-20,A005,防晒霜SPF50+ 50ml,186,129.0,23994.0,日常
2025-07-20,B001,补水面膜10片装,62,59.0,3658.0,日常
2025-07-20,B002,眼霜15ml,35,169.0,5915.0,日常
2025-07-20,B003,身体乳250ml,27,79.0,2133.0,日常
2025-07-20,B004,卸妆水500ml,21,49.0,1029.0,日常
2025-07-20,B005,护手霜50g,6,35.0,210.0,日常
2025-07-20,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-20,C002,唇膜5g,9,45.0,405.0,日常
2025-07-20,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-20,C004,发膜200ml,6,55.0,330.0,日常
2025-07-20,C005,沐浴球,4,15.0,60.0,日常
2025-07-21,A001,爆款玻尿酸面膜,301,89.0,26789.0,日常
2025-07-21,A002,美白精华液30ml,110,199.0,21890.0,日常
2025-07-21,A003,氨基酸洁面乳120g,103,69.0,7107.0,日常
2025-07-21,A004,烟酰胺原液15ml,74,149.0,11026.0,日常
2025-07-21,A005,防晒霜SPF50+ 50ml,161,129.0,20769.0,日常
2025-07-21,B001,补水面膜10片装,47,59.0,2773.0,日常
2025-07-21,B002,眼霜15ml,27,169.0,4563.0,日常
2025-07-21,B003,身体乳250ml,31,79.0,2449.0,日常
2025-07-21,B004,卸妆水500ml,21,49.0,1029.0,日常
2025-07-21,B005,护手霜50g,4,35.0,140.0,日常
2025-07-21,C001,化妆棉200片,13,19.0,247.0,日常
2025-07-21,C002,唇膜5g,8,45.0,360.0,日常
2025-07-21,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-21,C004,发膜200ml,4,55.0,220.0,日常
2025-07-21,C005,沐浴球,3,15.0,45.0,日常
2025-07-22,A001,爆款玻尿酸面膜,202,89.0,17978.0,日常
2025-07-22,A002,美白精华液30ml,104,199.0,20696.0,日常
2025-07-22,A003,氨基酸洁面乳120g,104,69.0,7176.0,日常
2025-07-22,A004,烟酰胺原液15ml,99,149.0,14751.0,日常
2025-07-22,A005,防晒霜SPF50+ 50ml,190,129.0,24510.0,日常
2025-07-22,B001,补水面膜10片装,55,59.0,3245.0,日常
2025-07-22,B002,眼霜15ml,23,169.0,3887.0,日常
2025-07-22,B003,身体乳250ml,27,79.0,2133.0,日常
2025-07-22,B004,卸妆水500ml,15,49.0,735.0,日常
2025-07-22,B005,护手霜50g,6,35.0,210.0,日常
2025-07-22,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-22,C002,唇膜5g,7,45.0,315.0,日常
2025-07-22,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-22,C004,发膜200ml,4,55.0,220.0,日常
2025-07-22,C005,沐浴球,2,15.0,30.0,日常
2025-07-23,A001,爆款玻尿酸面膜,277,89.0,24653.0,日常
2025-07-23,A002,美白精华液30ml,110,199.0,21890.0,日常
2025-07-23,A003,氨基酸洁面乳120g,96,69.0,6624.0,日常
2025-07-23,A004,烟酰胺原液15ml,81,149.0,12069.0,日常
2025-07-23,A005,防晒霜SPF50+ 50ml,181,129.0,23349.0,日常
2025-07-23,B001,补水面膜10片装,37,59.0,2183.0,日常
2025-07-23,B002,眼霜15ml,31,169.0,5239.0,日常
2025-07-23,B003,身体乳250ml,31,79.0,2449.0,日常
2025-07-23,B004,卸妆水500ml,18,49.0,882.0,日常
2025-07-23,B005,护手霜50g,5,35.0,175.0,日常
2025-07-23,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-23,C002,唇膜5g,7,45.0,315.0,日常
2025-07-23,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-23,C004,发膜200ml,4,55.0,220.0,日常
2025-07-23,C005,沐浴球,3,15.0,45.0,日常
2025-07-24,A001,爆款玻尿酸面膜,324,89.0,28836.0,日常
2025-07-24,A002,美白精华液30ml,132,199.0,26268.0,日常
2025-07-24,A003,氨基酸洁面乳120g,93,69.0,6417.0,日常
2025-07-24,A004,烟酰胺原液15ml,79,149.0,11771.0,日常
2025-07-24,A005,防晒霜SPF50+ 50ml,140,129.0,18060.0,日常
2025-07-24,B001,补水面膜10片装,52,59.0,3068.0,日常
2025-07-24,B002,眼霜15ml,29,169.0,4901.0,日常
2025-07-24,B003,身体乳250ml,26,79.0,2054.0,日常
2025-07-24,B004,卸妆水500ml,19,49.0,931.0,日常
2025-07-24,B005,护手霜50g,6,35.0,210.0,日常
2025-07-24,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-24,C002,唇膜5g,9,45.0,405.0,日常
2025-07-24,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-24,C004,发膜200ml,4,55.0,220.0,日常
2025-07-24,C005,沐浴球,3,15.0,45.0,日常
2025-07-25,A001,爆款玻尿酸面膜,264,89.0,23496.0,日常
2025-07-25,A002,美白精华液30ml,108,199.0,21492.0,日常
2025-07-25,A003,氨基酸洁面乳120g,84,69.0,5796.0,日常
2025-07-25,A004,烟酰胺原液15ml,78,149.0,11622.0,日常
2025-07-25,A005,防晒霜SPF50+ 50ml,137,129.0,17673.0,日常
2025-07-25,B001,补水面膜10片装,50,59.0,2950.0,日常
2025-07-25,B002,眼霜15ml,30,169.0,5070.0,日常
2025-07-25,B003,身体乳250ml,30,79.0,2370.0,日常
2025-07-25,B004,卸妆水500ml,25,49.0,1225.0,日常
2025-07-25,B005,护手霜50g,5,35.0,175.0,日常
2025-07-25,C001,化妆棉200片,10,19.0,190.0,日常
2025-07-25,C002,唇膜5g,8,45.0,360.0,日常
2025-07-25,C003,指甲油12ml,5,29.0,145.0,日常
2025-07-25,C004,发膜200ml,3,55.0,165.0,日常
2025-07-25,C005,沐浴球,3,15.0,45.0,日常
2025-07-26,A001,爆款玻尿酸面膜,319,89.0,28391.0,日常
2025-07-26,A002,美白精华液30ml,131,199.0,26069.0,日常
2025-07-26,A003,氨基酸洁面乳120g,99,69.0,6831.0,日常
2025-07-26,A004,烟酰胺原液15ml,89,149.0,13261.0,日常
2025-07-26,A005,防晒霜SPF50+ 50ml,217,129.0,27993.0,日常
2025-07-26,B001,补水面膜10片装,51,59.0,3009.0,日常
2025-07-26,B002,眼霜15ml,31,169.0,5239.0,日常
2025-07-26,B003,身体乳250ml,28,79.0,2212.0,日常
2025-07-26,B004,卸妆水500ml,25,49.0,1225.0,日常
2025-07-26,B005,护手霜50g,6,35.0,210.0,日常
2025-07-26,C001,化妆棉200片,15,19.0,285.0,日常
2025-07-26,C002,唇膜5g,10,45.0,450.0,日常
2025-07-26,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-26,C004,发膜200ml,5,55.0,275.0,日常
2025-07-26,C005,沐浴球,3,15.0,45.0,日常
2025-07-27,A001,爆款玻尿酸面膜,350,89.0,31150.0,日常
2025-07-27,A002,美白精华液30ml,126,199.0,25074.0,日常
2025-07-27,A003,氨基酸洁面乳120g,104,69.0,7176.0,日常
2025-07-27,A004,烟酰胺原液15ml,112,149.0,16688.0,日常
2025-07-27,A005,防晒霜SPF50+ 50ml,196,129.0,25284.0,日常
2025-07-27,B001,补水面膜10片装,52,59.0,3068.0,日常
2025-07-27,B002,眼霜15ml,29,169.0,4901.0,日常
2025-07-27,B003,身体乳250ml,31,79.0,2449.0,日常
2025-07-27,B004,卸妆水500ml,21,49.0,1029.0,日常
2025-07-27,B005,护手霜50g,5,35.0,175.0,日常
2025-07-27,C001,化妆棉200片,13,19.0,247.0,日常
2025-07-27,C002,唇膜5g,9,45.0,405.0,日常
2025-07-27,C003,指甲油12ml,4,29.0,116.0,日常
2025-07-27,C004,发膜200ml,5,55.0,275.0,日常
2025-07-27,C005,沐浴球,3,15.0,45.0,日常
2025-07-28,A001,爆款玻尿酸面膜,249,89.0,22161.0,日常
2025-07-28,A002,美白精华液30ml,136,199.0,27064.0,日常
2025-07-28,A003,氨基酸洁面乳120g,102,69.0,7038.0,日常
2025-07-28,A004,烟酰胺原液15ml,79,149.0,11771.0,日常
2025-07-28,A005,防晒霜SPF50+ 50ml,143,129.0,18447.0,日常
2025-07-28,B001,补水面膜10片装,49,59.0,2891.0,日常
2025-07-28,B002,眼霜15ml,24,169.0,4056.0,日常
2025-07-28,B003,身体乳250ml,24,79.0,1896.0,日常
2025-07-28,B004,卸妆水500ml,18,49.0,882.0,日常
2025-07-28,B005,护手霜50g,5,35.0,175.0,日常
2025-07-28,C001,化妆棉200片,12,19.0,228.0,日常
2025-07-28,C002,唇膜5g,8,45.0,360.0,日常
2025-07-28,C003,指甲油12ml,6,29.0,174.0,日常
2025-07-28,C004,发膜200ml,4,55.0,220.0,日常
2025-07-28,C005,沐浴球,3,15.0,45.0,日常
2025-07-29,A001,爆款玻尿酸面膜,229,89.0,20381.0,日常
2025-07-29,A002,美白精华液30ml,131,199.0,26069.0,日常
2025-07-29,A003,氨基酸洁面乳120g,101,69.0,6969.0,日常
